"ZIP","Date","PROPERTY.TYPE","ADDRESS","CITY","STATE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","LATITUDE","LONGITUDE","Age","ORIGINAL_PRC","numCrimes","LONG_LAT","SQ_LOT","knn14Pred","Error","Pct_Error","AbsPct_Err","UpperCI","LowerCI"
90004,"2020-03-25","Single Family Residential","355 N Wilton Pl","Los Angeles","CA",1438900,3,2,2340,6800,34.0775115,-118.3138319,107,1438900,170,-4031.84096718132,15912000,1723228.57142857,284328.571428571,0.197601342295206,0.197601342295206,2603403.9482427,1261077.79251039
90004,"2020-04-21","Single Family Residential","608 Lillian Way","Los Angeles","CA",1300000,3,1.75,2200,7706,34.0819587,-118.3280335,97,1300000,170,-4032.85115079922,16953200,1862121.42857143,562121.428571429,0.432401098901099,0.432401098901099,2813239.2647316,1362721.12676406
90004,"2020-03-25","Single Family Residential","527 N Commonwealth Ave","Los Angeles","CA",1330000,3,2.75,2200,7504,34.0802831,-118.2858932,113,1330000,170,-4031.21672699237,16508800,1574071.42857143,244071.428571429,0.183512352309345,0.183512352309345,2378061.64539255,1151922.94006066
90004,"2020-04-16","Single Family Residential","147 N Windsor Blvd","Los Angeles","CA",2e+06,3,2,2516,6313,34.0745074,-118.3198672,96,2000000,170,-4031.69119047342,15883508,1948128.57142857,-51871.4285714286,-0.0259357142857143,0.0259357142857143,2943176.37174331,1425662.10839164
90004,"2020-04-17","Single Family Residential","202 N Gower St","Los Angeles","CA",1729000,3,2.75,2073,7199,34.0747347,-118.3223371,99,1729000,170,-4031.80224576647,14923527,1929285.71428571,200285.714285714,0.115839048169875,0.115839048169875,2914709.12746984,1411872.69642141
90004,"2020-04-03","Single Family Residential","636 N Gramercy Pl","Los Angeles","CA",1087113,3,3.25,1840,1240,34.0827266,-118.3124335,6,1087113,170,-4032.41032436118,2281600,1062300,-24813,-0.022824674159908,0.022824674159908,1604892.15422277,777402.929126933
90004,"2020-04-09","Single Family Residential","509 N St Andrews Pl","Los Angeles","CA",850000,3,2,1500,4501,34.0806436,-118.3114375,109,850000,170,-4032.12993524118,6751500,1268121.42857143,418121.428571429,0.49190756302521,0.49190756302521,1915841.22311593,928025.334707765
90004,"2020-03-13","Single Family Residential","512 N Arden","Los Angeles","CA",1300000,3,1.5,1502,7005,34.0793804,-118.3256705,100,1300000,170,-4032.46553605456,10521510,1372157.14285714,72157.142857143,0.0555054945054947,0.0555054945054947,2073015.37506557,1004159.82498314
90004,"2020-02-07","Single Family Residential","236 N Berendo St","Los Angeles","CA",1100000,3,1,1706,7500,34.0755663,-118.293886,100,1100000,170,-4030.93115527764,12795000,1214128.57142857,114128.571428571,0.103753246753247,0.103753246753247,1834270.37419129,888512.762652047
90004,"2020-03-06","Single Family Residential","234 N Ridgewood Pl","Los Angeles","CA",1642000,2,1.5,1427,5653,34.0756645,-118.3143,100,1642000,170,-4031.63839235235,8066831,1381450,-260550,-0.1586784409257,0.1586784409257,2087054.75520196,1010960.44096997
90004,"2020-02-25","Single Family Residential","590 N Cahuenga Blvd","Los Angeles","CA",1900000,4,2.5,3237,6501,34.0815117,-118.3291409,98,1900000,170,-4032.8360000343,21043737,2757857.14285714,857857.142857143,0.451503759398496,0.451503759398496,4166490.90750131,2018230.46311849
90004,"2020-03-13","Single Family Residential","570 Lillian Way","Los Angeles","CA",1999000,4,3.25,2562,7582,34.0809746,-118.3280906,98,1999000,170,-4032.7366502051,19425084,2257357.14285714,258357.142857143,0.129243193025084,0.129243193025084,3410349.96502885,1651959.00870069
90004,"2020-03-17","Single Family Residential","327 N Beachwood Dr","Los Angeles","CA",2249000,4,3,2012,6750,34.077008,-118.3220244,99,2249000,170,-4032.060572055,13581000,1804757.14285714,-444242.857142857,-0.197529060534841,0.197529060534841,2726574.9589089,1320741.30586454
90004,"2020-03-24","Single Family Residential","132 arden","Los Angeles","CA",1605000,4,2,1899,7018,34.0740209,-118.3256705,99,1605000,170,-4031.83136962351,13327182,1560164.28571429,-44835.7142857143,-0.0279350244770806,0.0279350244770806,2357051.13568806,1141745.53857998
90004,"2020-04-15","Single Family Residential","635 Seward St","Los Angeles","CA",2720000,5,4,3405,6795,34.0829401,-118.3333417,1,2720000,170,-4033.14819699393,23136975,2859385.71428571,139385.714285714,0.0512447478991596,0.0512447478991596,4319877.34044413,2092530.19842739
